################################################################################
# Data file for Pacific Herring stock assessment using iSCAM
# Region(s):	Strait of Georgia
# Created:	2020-07-24
# Edited:	
################################################################################
#
##### Model dimensions #####
1	# Number of areas (narea)
1	# Number of groups (ngroup)
1	# Number of sexes (nsex)
1951	# First year (syr)
2020	# Last year (nyr)
2	# Youngest age (sage)
10	# Plus group (nage)
5	# Number of gears (ngear)
#
##### Fishery flags #####
0.2181	0.3917	0.3903	0	0	# TAC allocations (mean of last 20 years)
#
##### Age and population parameters #####
27	# Asymptotic length (linf)
0.48	# Brody growth coefficient (k)
0	# Theoretical age at zero length (t0)
4.5e-06	# Scalar in length-weight allometry (alpha)
3.127	# Power parameter in length-weight allometry (beta)
2.055	# Age at 50% maturity
0.05	# Standard deviation at 50% maturity
1	# Natural mortality indicator
0.24974, 0.9, 1, 1, 1, 1, 1, 1, 1	# Maturity vector
#
##### Delay-difference parameters (not used) #####
0	# (kage)
0	# (alpha_g)
0	# (rho_g)
0	# (wk)
#
##### Catch (t*10^3) #####
164	# Number of observations
# Year	Gear	Area	Group	Sex	Type	Value
2020	3	1	1	0	1	6.415
#
##### Spawn (t*10^3) #####
2		# Number of survey types
37	33	# Number of years per survey
3	3	# Survey type (1=vuln. number, 2=vuln. biomass, 3=spawn biomass)
# Year	Spawn	Gear	Area	Group	Sex	Weight	Timing
1951	66.143	4	1	1	0	1	1
1952	72.376	4	1	1	0	1	1
1953	111.307	4	1	1	0	1	1
1954	82.141	4	1	1	0	1	1
1955	69.854	4	1	1	0	1	1
1956	25.667	4	1	1	0	1	1
1957	24.465	4	1	1	0	1	1
1958	16.911	4	1	1	0	1	1
1959	47.864	4	1	1	0	1	1
1960	55.709	4	1	1	0	1	1
1961	44.326	4	1	1	0	1	1
1962	35.596	4	1	1	0	1	1
1963	37.381	4	1	1	0	1	1
1964	35.954	4	1	1	0	1	1
1965	38.39	4	1	1	0	1	1
1966	7.211	4	1	1	0	1	1
1967	9.647	4	1	1	0	1	1
1968	9.442	4	1	1	0	1	1
1969	14.039	4	1	1	0	1	1
1970	34.163	4	1	1	0	1	1
1971	38.921	4	1	1	0	1	1
1972	25.139	4	1	1	0	1	1
1973	16.191	4	1	1	0	1	1
1974	40.571	4	1	1	0	1	1
1975	70.208	4	1	1	0	1	1
1976	60.996	4	1	1	0	1	1
1977	78.113	4	1	1	0	1	1
1978	101.784	4	1	1	0	1	1
1979	63.973	4	1	1	0	1	1
1980	85.679	4	1	1	0	1	1
1981	54.754	4	1	1	0	1	1
1982	101.025	4	1	1	0	1	1
1983	66.201	4	1	1	0	1	1
1984	26.054	4	1	1	0	1	1
1985	25.024	4	1	1	0	1	1
1986	41.575	4	1	1	0	1	1
1987	41.737	4	1	1	0	1	1
1988	24.976	5	1	1	0	1.1666	1
1989	66.052	5	1	1	0	1.1666	1
1990	67.15	5	1	1	0	1.1666	1
1991	45.629	5	1	1	0	1.1666	1
1992	82.71	5	1	1	0	1.1666	1
1993	90.197	5	1	1	0	1.1666	1
1994	67.138	5	1	1	0	1.1666	1
1995	64.898	5	1	1	0	1.1666	1
1996	71.346	5	1	1	0	1.1666	1
1997	58.296	5	1	1	0	1.1666	1
1998	74.616	5	1	1	0	1.1666	1
1999	85.094	5	1	1	0	1.1666	1
2000	72.688	5	1	1	0	1.1666	1
2001	100.248	5	1	1	0	1.1666	1
2002	117.862	5	1	1	0	1.1666	1
2003	152.15	5	1	1	0	1.1666	1
2004	122.839	5	1	1	0	1.1666	1
2005	102.651	5	1	1	0	1.1666	1
2006	50.258	5	1	1	0	1.1666	1
2007	38.524	5	1	1	0	1.1666	1
2008	34.507	5	1	1	0	1.1666	1
2009	53.652	5	1	1	0	1.1666	1
2010	50.454	5	1	1	0	1.1666	1
2011	85.001	5	1	1	0	1.1666	1
2012	52.636	5	1	1	0	1.1666	1
2013	83.693	5	1	1	0	1.1666	1
2014	120.468	5	1	1	0	1.1666	1
2015	104.481	5	1	1	0	1.1666	1
2016	129.502	5	1	1	0	1.1666	1
2017	81.064	5	1	1	0	1.1666	1
2018	91.939	5	1	1	0	1.1666	1
2019	63.038	5	1	1	0	1.1666	1
2020	116.151	5	1	1	0	1.1666	1
#
##### Number-at-age #####
3			# Number of gears
64	47	47	# Number of years per gear
2	2	2	# Youngest age
10	10	10	# Plus group
100	100	100	# Effective sample size
1	1	1	# Composition (1=age, 2=length)
# Year	Gear	Area	Group	Sex	2	3	4	5	6	7	8	9	10
1951	1	1	1	0	326	4413	2371	556	110	27	8	2	0
1952	1	1	1	0	1008	4900	2191	589	114	23	6	1	0
1953	1	1	1	0	763	3509	1897	285	96	15	4	0	0
1954	1	1	1	0	200	6011	4845	1520	432	124	27	3	0
1955	1	1	1	0	227	2533	2048	350	57	6	0	0	0
1956	1	1	1	0	280	2550	2628	2307	529	86	26	5	3
1957	1	1	1	0	84	3829	1566	761	333	38	3	1	1
1958	1	1	1	0	588	3548	1528	428	363	212	29	5	0
1959	1	1	1	0	1616	6073	1455	251	55	24	12	2	1
1960	1	1	1	0	288	1921	1368	135	20	6	3	0	1
1961	1	1	1	0	1292	1252	1191	765	263	39	4	0	0
1962	1	1	1	0	317	2348	608	212	114	30	9	0	0
1963	1	1	1	0	427	1388	734	113	33	14	2	0	0
1964	1	1	1	0	259	2650	1507	172	36	11	5	0	0
1965	1	1	1	0	555	1870	891	95	36	8	5	0	0
1966	1	1	1	0	184	274	191	114	18	9	0	0	0
1972	1	1	1	0	394	1313	1337	696	143	51	5	1	0
1973	1	1	1	0	47	1294	1432	1188	585	82	14	2	0
1974	1	1	1	0	15	63	7	1	0	0	0	0	0
1975	1	1	1	0	97	265	54	9	6	2	0	1	0
1976	1	1	1	0	272	872	1723	914	272	117	41	18	2
1977	1	1	1	0	110	1349	584	439	118	33	13	4	3
1978	1	1	1	0	42	695	815	207	145	59	10	7	2
1979	1	1	1	0	44	437	1002	703	213	121	30	7	3
1980	1	1	1	0	121	1753	969	773	345	91	52	15	4
1981	1	1	1	0	176	1521	1554	715	391	135	21	5	0
1982	1	1	1	0	80	839	711	349	133	92	19	2	1
1983	1	1	1	0	60	336	507	392	211	77	91	44	9
1984	1	1	1	0	279	598	435	321	153	63	19	8	6
1985	1	1	1	0	681	993	464	188	77	25	8	2	0
1986	1	1	1	0	116	501	177	50	15	3	1	0	0
1987	1	1	1	0	192	306	273	88	17	4	2	0	0
1988	1	1	1	0	32	550	158	140	25	6	2	1	0
1989	1	1	1	0	278	174	450	74	62	9	2	0	0
1990	1	1	1	0	37	427	102	144	16	19	0	0	0
1991	1	1	1	0	162	286	313	57	56	7	2	0	0
1992	1	1	1	0	31	526	92	56	4	1	1	0	0
1993	1	1	1	0	253	302	316	67	26	3	6	1	0
1994	1	1	1	0	42	287	134	81	9	5	0	0	0
1995	1	1	1	0	294	329	413	125	54	8	2	0	1
1996	1	1	1	0	421	821	199	157	41	18	3	0	0
1997	1	1	1	0	112	304	70	16	4	1	2	1	0
1998	1	1	1	0	60	699	596	99	19	8	2	0	0
1999	1	1	1	0	175	416	619	217	46	9	2	0	0
2000	1	1	1	0	422	736	259	210	65	18	2	2	0
2001	1	1	1	0	91	560	326	85	56	22	6	2	0
2002	1	1	1	0	131	949	369	93	16	5	2	0	1
2003	1	1	1	0	28	377	303	75	21	5	2	2	0
2004	1	1	1	0	80	288	402	153	30	9	0	1	0
2005	1	1	1	0	42	207	134	134	43	17	3	1	0
2006	1	1	1	0	87	154	142	64	46	14	2	1	0
2007	1	1	1	0	57	510	309	104	25	14	2	0	0
2008	1	1	1	0	320	234	1134	276	69	22	15	1	0
2009	1	1	1	0	8	692	150	52	10	2	0	0	0
2010	1	1	1	0	272	103	705	50	29	10	2	3	0
2011	1	1	1	0	354	1011	126	114	10	6	0	0	0
2012	1	1	1	0	246	2382	1917	172	143	9	4	0	0
2013	1	1	1	0	823	1429	1116	674	51	39	4	0	0
2014	1	1	1	0	148	1940	618	350	241	18	18	3	0
2015	1	1	1	0	671	1365	1292	345	151	75	12	2	0
2016	1	1	1	0	842	1025	1153	656	152	36	8	2	1
2017	1	1	1	0	439	1216	900	722	341	68	11	2	0
2018	1	1	1	0	405	1894	939	464	260	88	13	7	3
2019	1	1	1	0	1128	1524	882	404	196	95	25	3	0
1972	2	1	1	0	428	1819	1655	903	174	50	6	1	0
1973	2	1	1	0	16	208	81	49	23	2	0	0	0
1975	2	1	1	0	191	2852	1452	408	174	83	25	9	0
1976	2	1	1	0	135	279	456	166	38	26	17	5	1
1977	2	1	1	0	79	1315	474	341	91	30	18	6	3
1978	2	1	1	0	29	1209	1477	396	253	47	10	1	2
1979	2	1	1	0	23	282	461	394	132	73	29	9	6
1980	2	1	1	0	103	2061	656	733	408	107	51	11	5
1981	2	1	1	0	660	3111	2493	903	774	297	52	23	2
1982	2	1	1	0	371	1875	1354	1127	253	282	135	30	4
1983	2	1	1	0	358	3759	3407	2134	1372	381	366	150	35
1984	2	1	1	0	894	2869	2101	935	515	242	81	35	11
1985	2	1	1	0	2818	3815	1558	651	276	108	47	5	1
1986	2	1	1	0	818	3603	1423	396	123	48	9	5	0
1987	2	1	1	0	855	2584	2861	1176	273	82	29	10	5
1988	2	1	1	0	327	3568	883	900	242	61	13	4	0
1989	2	1	1	0	643	1157	3435	607	456	102	20	2	1
1990	2	1	1	0	496	3251	607	1070	170	97	23	3	1
1991	2	1	1	0	701	1191	2125	473	770	118	74	10	1
1992	2	1	1	0	260	2762	691	843	176	260	30	16	1
1993	2	1	1	0	963	2138	1747	379	326	76	84	8	2
1994	2	1	1	0	279	2518	1594	1120	238	168	42	9	0
1995	2	1	1	0	664	1317	2080	1010	627	155	62	20	6
1996	2	1	1	0	1125	4051	1170	1198	481	280	57	19	7
1997	2	1	1	0	805	3810	1667	428	464	185	107	9	5
1998	2	1	1	0	349	3992	2608	1005	216	166	62	16	2
1999	2	1	1	0	231	898	1553	687	245	67	26	6	2
2000	2	1	1	0	692	2444	1237	1432	570	137	19	13	1
2001	2	1	1	0	499	2856	1847	564	531	169	39	6	2
2002	2	1	1	0	413	2536	1325	607	127	108	21	4	0
2003	2	1	1	0	387	3835	3248	1060	310	77	33	7	0
2004	2	1	1	0	398	1274	1805	902	225	67	14	8	1
2005	2	1	1	0	337	1313	1390	1093	362	85	30	10	4
2006	2	1	1	0	1438	1334	1095	734	442	98	35	8	1
2007	2	1	1	0	89	2469	1384	647	324	174	40	10	1
2008	2	1	1	0	75	445	2531	562	215	89	27	8	2
2009	2	1	1	0	16	2644	564	559	173	58	25	10	1
2010	2	1	1	0	566	164	3428	269	300	70	26	7	4
2011	2	1	1	0	319	3243	576	1031	105	57	22	4	1
2012	2	1	1	0	82	1757	2391	208	391	36	11	4	0
2013	2	1	1	0	245	1190	1457	1311	102	160	13	2	2
2014	2	1	1	0	134	973	482	577	472	45	45	4	1
2015	2	1	1	0	363	2399	2350	541	308	160	13	9	0
2016	2	1	1	0	512	1342	1808	923	202	110	70	7	4
2017	2	1	1	0	392	1312	1319	1071	398	85	36	12	2
2018	2	1	1	0	256	1680	1175	764	438	133	19	7	0
2019	2	1	1	0	1147	1814	1245	648	297	127	32	6	1
1972	3	1	1	0	46	119	481	300	71	15	2	1	0
1973	3	1	1	0	0	39	68	84	25	7	1	0	0
1974	3	1	1	0	0	48	418	310	165	40	9	0	0
1975	3	1	1	0	0	9	78	65	22	6	1	0	0
1976	3	1	1	0	0	5	349	385	112	26	6	1	0
1977	3	1	1	0	0	54	456	755	263	60	8	2	0
1978	3	1	1	0	0	4	115	170	202	65	8	2	0
1979	3	1	1	0	0	7	141	332	82	35	9	0	1
1980	3	1	1	0	0	15	69	336	252	66	14	2	0
1981	3	1	1	0	1	25	207	262	426	183	32	3	1
1982	3	1	1	0	0	37	128	237	123	173	118	14	3
1983	3	1	1	0	0	2	113	120	96	38	30	7	1
1984	3	1	1	0	0	54	231	238	147	71	13	5	7
1985	3	1	1	0	1	34	286	356	259	101	41	9	9
1987	3	1	1	0	0	48	684	642	317	163	50	11	5
1988	3	1	1	0	0	75	122	395	160	45	19	3	2
1989	3	1	1	0	0	13	331	181	213	64	18	3	0
1990	3	1	1	0	0	115	160	771	167	133	20	4	1
1991	3	1	1	0	0	14	306	187	436	79	51	13	1
1992	3	1	1	0	0	74	174	510	137	221	31	17	5
1993	3	1	1	0	0	104	363	154	196	37	49	2	2
1994	3	1	1	0	1	45	300	537	183	95	30	8	2
1995	3	1	1	0	0	21	243	341	242	52	22	4	2
1996	3	1	1	0	0	21	86	247	119	56	10	4	1
1997	3	1	1	0	0	30	113	104	202	108	54	16	6
1998	3	1	1	0	0	45	450	438	185	191	57	26	6
1999	3	1	1	0	0	18	245	307	176	56	28	5	1
2000	3	1	1	0	0	12	161	488	309	99	24	4	0
2001	3	1	1	0	0	31	190	263	345	154	34	7	3
2002	3	1	1	0	0	45	206	285	149	178	45	5	2
2003	3	1	1	0	0	32	293	452	316	139	87	29	6
2004	3	1	1	0	0	25	278	451	276	116	25	13	1
2005	3	1	1	0	0	5	91	352	207	80	28	9	1
2006	3	1	1	0	0	7	119	315	322	160	40	11	1
2007	3	1	1	0	0	144	397	801	802	551	146	42	7
2008	3	1	1	0	1	32	857	468	318	159	56	18	1
2009	3	1	1	0	0	42	63	466	166	99	29	11	1
2010	3	1	1	0	0	1	222	67	428	114	60	23	8
2011	3	1	1	0	0	103	77	1171	205	260	61	18	8
2012	3	1	1	0	1	247	1306	154	398	50	28	4	2
2013	3	1	1	0	0	27	286	689	84	160	8	4	2
2014	3	1	1	0	0	23	110	489	799	75	106	9	2
2015	3	1	1	0	0	100	456	386	645	634	55	29	3
2016	3	1	1	0	2	159	618	564	252	263	229	27	18
2017	3	1	1	0	1	56	622	1022	645	187	86	39	3
2018	3	1	1	0	2	97	417	726	694	248	37	14	1
2019	3	1	1	0	25	188	603	640	455	230	85	9	2
#
##### Weight-at-age (kg) #####
1	# Number of weight-at-age tables
70	# Number of years
# Year	Gear	Area	Group	Sex	2	3	4	5	6	7	8	9	10
1951	1	1	1	0	0.0417	0.0897	0.1126	0.1376	0.1586	0.1706	0.2001	0.1865	0.201
1952	1	1	1	0	0.0432	0.0896	0.1133	0.1385	0.1599	0.1756	0.1677	0.178	0.201
1953	1	1	1	0	0.0324	0.0762	0.0966	0.1269	0.1513	0.1599	0.1335	0.1822	0.201
1954	1	1	1	0	0.0431	0.0835	0.1068	0.1387	0.1654	0.1819	0.1962	0.1853	0.201
1955	1	1	1	0	0.0499	0.0894	0.1052	0.1284	0.1501	0.1717	0.1744	0.183	0.201
1956	1	1	1	0	0.047	0.0852	0.1083	0.1223	0.144	0.1613	0.1779	0.176	0.201
1957	1	1	1	0	0.0432	0.0832	0.1144	0.1413	0.1555	0.1724	0.212	0.194	0.192
1958	1	1	1	0	0.0454	0.0765	0.1106	0.1449	0.159	0.1658	0.1807	0.191	0.1965
1959	1	1	1	0	0.0491	0.0834	0.1011	0.1333	0.1581	0.176	0.1756	0.1805	0.144
1960	1	1	1	0	0.0499	0.0918	0.1138	0.1258	0.1568	0.134	0.177	0.1849	0.143
1961	1	1	1	0	0.0569	0.0797	0.1095	0.1257	0.1498	0.1707	0.181	0.1853	0.1753
1962	1	1	1	0	0.0493	0.0887	0.1042	0.1404	0.1528	0.1669	0.1838	0.1871	0.1702
1963	1	1	1	0	0.0472	0.0844	0.1057	0.123	0.1455	0.1818	0.179	0.1858	0.1658
1964	1	1	1	0	0.0549	0.0966	0.1148	0.1356	0.1605	0.1904	0.1628	0.1847	0.1597
1965	1	1	1	0	0.0582	0.1042	0.1215	0.1425	0.1455	0.1501	0.1168	0.1856	0.1628
1966	1	1	1	0	0.0484	0.1009	0.1372	0.1617	0.1691	0.1939	0.1647	0.1857	0.1667
1967	1	1	1	0	0.0516	0.095	0.1167	0.1406	0.1547	0.1766	0.1614	0.1858	0.165
1968	1	1	1	0	0.0521	0.0962	0.1192	0.1407	0.1551	0.1786	0.1569	0.1855	0.164
1969	1	1	1	0	0.053	0.0986	0.1219	0.1442	0.157	0.1779	0.1525	0.1854	0.1636
1970	1	1	1	0	0.0527	0.099	0.1233	0.146	0.1563	0.1754	0.1505	0.1856	0.1644
1971	1	1	1	0	0.0516	0.0979	0.1236	0.1466	0.1584	0.1805	0.1572	0.1856	0.1648
1972	1	1	1	0	0.0585	0.089	0.1274	0.1455	0.1646	0.1752	0.1994	0.185	0.1644
1973	1	1	1	0	0.0573	0.1001	0.129	0.1598	0.1754	0.1928	0.1981	0.201	0.1642
1974	1	1	1	0	0.0637	0.0799	0.1139	0.199	0.1623	0.1804	0.1715	0.1885	0.1643
1975	1	1	1	0	0.0421	0.0828	0.1115	0.1423	0.1694	0.1934	0.1995	0.2122	0.1644
1976	1	1	1	0	0.0495	0.0848	0.1236	0.1459	0.1743	0.1922	0.206	0.2248	0.2193
1977	1	1	1	0	0.0571	0.0888	0.1173	0.1389	0.1616	0.191	0.201	0.2027	0.2418
1978	1	1	1	0	0.0499	0.0854	0.1098	0.1315	0.1509	0.1662	0.1682	0.1992	0.2095
1979	1	1	1	0	0.0617	0.0868	0.1186	0.1405	0.1606	0.1755	0.1987	0.2052	0.2213
1980	1	1	1	0	0.0497	0.0788	0.1075	0.1318	0.1549	0.1668	0.1806	0.1904	0.2157
1981	1	1	1	0	0.0601	0.0856	0.1088	0.1346	0.1548	0.1705	0.1833	0.1798	0.1925
1982	1	1	1	0	0.061	0.0933	0.1127	0.1263	0.1496	0.1599	0.1671	0.1672	0.192
1983	1	1	1	0	0.0573	0.0864	0.1144	0.133	0.1406	0.1552	0.1688	0.1828	0.1978
1984	1	1	1	0	0.0606	0.0882	0.1146	0.1397	0.1565	0.1595	0.1669	0.1758	0.202
1985	1	1	1	0	0.0621	0.0863	0.1139	0.1348	0.1566	0.1703	0.1871	0.1926	0.232
1986	1	1	1	0	0.0661	0.0892	0.1106	0.1324	0.1492	0.1717	0.1971	0.1954	0.2032
1987	1	1	1	0	0.0608	0.0867	0.1051	0.1221	0.1365	0.1509	0.166	0.155	0.175
1988	1	1	1	0	0.0576	0.0889	0.1128	0.1299	0.1413	0.1549	0.1642	0.2006	0.202
1989	1	1	1	0	0.0644	0.0835	0.1064	0.1273	0.1388	0.1469	0.1561	0.158	0.182
1990	1	1	1	0	0.0577	0.0845	0.1056	0.1283	0.1468	0.1568	0.1609	0.1457	0.226
1991	1	1	1	0	0.062	0.0888	0.1099	0.1279	0.1426	0.1553	0.1634	0.1508	0.185
1992	1	1	1	0	0.0595	0.0903	0.1117	0.1318	0.1489	0.1593	0.1748	0.1739	0.198
1993	1	1	1	0	0.0563	0.0916	0.1116	0.1286	0.1411	0.1529	0.1565	0.16	0.1475
1994	1	1	1	0	0.0522	0.0809	0.1047	0.1207	0.135	0.1405	0.1512	0.1609	0.1877
1995	1	1	1	0	0.0598	0.0846	0.1103	0.1313	0.1446	0.1617	0.1631	0.1791	0.1753
1996	1	1	1	0	0.0617	0.0828	0.1061	0.1263	0.1457	0.1557	0.1718	0.1694	0.1766
1997	1	1	1	0	0.0462	0.0817	0.1014	0.1195	0.1368	0.1464	0.1541	0.167	0.1762
1998	1	1	1	0	0.0502	0.0725	0.0939	0.1085	0.1194	0.1331	0.1438	0.1559	0.1485
1999	1	1	1	0	0.0451	0.0796	0.0992	0.1136	0.1256	0.1336	0.1433	0.1508	0.139
2000	1	1	1	0	0.0516	0.0723	0.095	0.1111	0.1293	0.1388	0.153	0.1599	0.163
2001	1	1	1	0	0.0599	0.0852	0.099	0.1196	0.1332	0.1483	0.1552	0.1454	0.144
2002	1	1	1	0	0.0486	0.079	0.0957	0.1074	0.1254	0.1323	0.1413	0.164	0.059
2003	1	1	1	0	0.0474	0.0769	0.093	0.105	0.1113	0.1282	0.1401	0.128	0.1307
2004	1	1	1	0	0.0429	0.0722	0.0887	0.0992	0.1091	0.1125	0.1241	0.1219	0.132
2005	1	1	1	0	0.0476	0.0742	0.0911	0.1063	0.1175	0.1257	0.1305	0.1215	0.1372
2006	1	1	1	0	0.0455	0.0689	0.0872	0.1018	0.1107	0.1194	0.1274	0.1394	0.178
2007	1	1	1	0	0.062	0.0754	0.0833	0.0995	0.1154	0.123	0.1301	0.1432	0.134
2008	1	1	1	0	0.0258	0.0658	0.0858	0.0936	0.1031	0.1101	0.1155	0.1331	0.124
2009	1	1	1	0	0.0453	0.0644	0.0688	0.1033	0.1156	0.1251	0.1347	0.1542	0.178
2010	1	1	1	0	0.0397	0.0564	0.0788	0.0847	0.1118	0.1189	0.1141	0.1119	0.1412
2011	1	1	1	0	0.0353	0.0686	0.0721	0.0906	0.0948	0.1083	0.1194	0.143	0.122
2012	1	1	1	0	0.0483	0.0708	0.0832	0.0857	0.0947	0.1012	0.1113	0.1242	0.1398
2013	1	1	1	0	0.049	0.0692	0.0889	0.1024	0.1068	0.1155	0.118	0.1275	0.1225
2014	1	1	1	0	0.0367	0.0794	0.0909	0.1084	0.1187	0.1224	0.1261	0.1457	0.111
2015	1	1	1	0	0.0433	0.0689	0.0797	0.0887	0.1016	0.1107	0.1173	0.1061	0.1273
2016	1	1	1	0	0.0463	0.0726	0.0837	0.0909	0.099	0.1148	0.1292	0.1249	0.11
